date,open,high,low,close,volume,amount,turnover_rate
2023-07-24,58.0,58.0,55.39,55.46,277131,1558367959.29,2.3
2023-07-25,56.3,58.22,56.17,58.12,271975,1563686749.69,2.25
2023-07-26,58.3,59.55,58.15,58.58,173352,1019712215.63,1.44
2023-07-27,58.52,58.91,57.93,57.97,89566,521624185.29,0.74
2023-07-28,57.66,59.38,57.38,59.07,154479,907729167.02,1.28
2023-07-31,59.41,60.55,59.19,59.83,204082,1222017012.66,1.69
2023-08-01,59.7,60.02,59.0,59.29,95401,567074669.31,0.79
2023-08-02,59.2,59.22,58.44,58.59,95471,560638513.0,0.79
2023-08-03,58.23,59.15,58.16,58.4,89936,526728612.45,0.75
2023-08-04,58.6,59.19,58.24,58.27,132958,779691772.94,1.1
2023-08-07,58.0,58.3,57.61,58.09,72196,418581063.04,0.6
2023-08-08,57.8,58.19,57.41,57.7,76515,441567847.39,0.63
2023-08-09,57.65,57.7,57.12,57.15,75238,431004019.67,0.62
2023-08-10,57.3,58.01,56.88,57.46,98958,568960318.67,0.82
2023-08-11,57.46,57.55,56.1,56.1,100558,569882873.67,0.83
2023-08-14,55.55,55.88,53.38,53.61,251887,1358977305.76,2.09
2023-08-15,53.61,53.79,52.4,52.75,135943,718455255.1,1.13
2023-08-16,52.74,53.16,51.66,51.66,158027,825645127.98,1.31
2023-08-17,51.28,51.77,50.68,51.55,136994,702072023.95,1.13
2023-08-18,51.55,51.72,50.0,50.0,171881,870646709.97,1.42
2023-08-21,49.85,50.27,49.08,49.08,141073,699569047.93,1.17
2023-08-22,49.73,49.91,48.3,49.24,163390,801271670.78,1.35
2023-08-23,49.24,49.25,47.5,47.51,156786,754878923.08,1.3
2023-08-24,48.19,48.63,47.68,47.91,129806,624828362.76,1.08
2023-08-25,47.6,47.64,46.68,46.93,126184,594346165.97,1.05
2023-08-28,49.99,49.99,46.81,46.99,196903,947699598.18,1.63
2023-08-29,46.9,48.25,46.4,48.04,175540,836062685.21,1.45
2023-08-30,48.6,49.08,48.0,48.28,159857,775367376.94,1.32
2023-08-31,47.87,48.02,46.78,47.41,167329,792153643.65,1.39
2023-09-01,47.4,47.8,47.11,47.49,99005,470521716.13,0.82
2023-09-04,47.79,49.65,47.59,49.04,263992,1288702339.09,2.19
2023-09-05,48.83,49.44,48.65,49.29,172424,847096695.02,1.43
2023-09-06,49.05,49.14,48.45,48.9,114951,560261547.9,0.95
2023-09-07,48.78,48.95,47.62,47.65,151784,729112869.01,1.26
2023-09-08,47.32,47.64,46.51,46.65,107476,503248285.07,0.89
2023-09-11,46.3,47.51,45.8,46.9,160897,750942443.73,1.33
2023-09-12,47.08,49.26,47.01,47.81,254557,1225146517.68,2.11
2023-09-13,47.56,48.12,46.83,47.06,119054,564501337.74,0.99
2023-09-14,47.0,47.38,46.2,46.25,112609,524282755.79,0.93
2023-09-15,46.48,46.59,45.5,45.5,152130,697477930.21,1.26
2023-09-18,45.51,48.09,45.22,47.12,282832,1330034962.07,2.34
2023-09-19,47.0,47.0,45.71,46.05,162784,751485266.68,1.35
2023-09-20,45.88,45.9,45.1,45.35,114297,520381234.0,0.95
2023-09-21,45.08,45.49,44.66,44.9,132621,596467892.72,1.1
