date,open,high,low,close,volume,amount,rsi,ema_20,ema_50,ema_60,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,ma_5,ma_10,ma_20,volume_ma,volume_ratio
2024-01-19,33.45,34.24,32.83,33.55,148573364.0,4999777765.0,46.65121319399399,33.8102048757984,34.67874560368584,34.92767491963851,-0.7413495316047403,-0.7633311036750531,0.021981572070312816,36.93129645915376,33.98849999999997,31.045703540846194,32.872,32.833999999999996,33.98849999999997,159672101.25,0.9304904415792549
2024-01-26,33.51,33.81,32.73,33.66,178659292.0,5962307157.0,47.33269590672041,33.79589964953188,34.63879479569816,34.886111807519214,-0.6609774793518,-0.7428603788104025,0.0818828994586025,36.65522047396334,33.868499999999976,31.081779526036616,33.196000000000005,32.95,33.868499999999976,166871339.25,1.070640966884911
2024-02-02,34.97,35.84,34.41,35.6,296225137.0,10434354482.0,57.61587206844536,33.967718730528844,34.67648911743549,34.90951797776449,-0.4357175810983307,-0.6814318192679881,0.24571423816965743,36.587151055579994,33.850499999999975,31.113848944419956,33.882,33.21,33.850499999999975,199082098.0,1.4879546678275413
2024-02-09,35.35,36.94,35.13,36.14,279347802.0,10089794732.0,59.959366065039035,34.17460266095467,34.73388170106547,34.94986165062467,-0.21118954023195613,-0.5873833634607817,0.37619382322882555,36.448599322319325,33.821999999999974,31.195400677680624,34.513999999999996,33.574,33.821999999999974,225701398.75,1.237687509014607
2024-02-16,35.35,36.94,35.13,36.14,0.0,0.0,59.959366065039035,34.361783359911364,34.78902359514134,34.98888258011238,-0.03287053909469506,-0.47648079858756437,0.4436102594928693,36.41117076835683,33.81399999999998,31.216829231643125,35.017999999999994,33.9,33.81399999999998,188558057.75,0.0
2024-02-23,36.48,38.41,36.16,38.12,214172961.0,8070029531.0,67.58175195550254,34.71970875420552,34.91965012082207,35.09154216764968,0.2651613910167754,-0.3281523606666964,0.5933137516834718,36.93558740180953,33.90499999999998,30.87441259819043,35.931999999999995,34.402,33.90499999999998,197436475.0,1.0847689668284444
2024-03-01,38.66,40.02,38.52,40.01,202178299.0,7908825900.0,72.88744100934402,35.22354601570976,35.1192716847114,35.25280308018576,0.6464096394970795,-0.1332399606339412,0.7796496001310207,38.19047636932673,34.16499999999998,30.139523630673224,37.20199999999999,35.199,34.16499999999998,173924765.5,1.1624468684420908
2024-03-08,40.4,41.17,39.54,40.97,191277100.0,7737229869.0,75.1152579812402,35.77082734754693,35.34871201080115,35.44025215952393,1.0143231146369516,0.09627265442023737,0.9180504602167142,39.51962778171324,34.53449999999997,29.549372218286706,38.275999999999996,36.07899999999999,34.53449999999997,151907090.0,1.2591716423505974
2024-03-15,40.97,41.25,38.51,38.82,253289818.0,9995831954.0,62.69110397415416,36.06122474301865,35.48484095155405,35.5510635641297,1.1195052035398518,0.30091916424416026,0.8185860392956916,40.0836370540726,34.76449999999998,29.44536294592736,38.81199999999999,36.663,34.76449999999998,215229544.5,1.1768357294460565
2024-03-22,38.84,38.89,37.75,38.14,175561079.0,6705952406.0,59.3476355925141,36.25920333892164,35.58896483580683,35.63594672596151,1.1349099147482207,0.4677173143449724,0.6671926004032482,40.47441675688913,34.970999999999975,29.467583243110823,39.21199999999999,37.114999999999995,34.970999999999975,205576574.0,0.8539936024033555
